"poiID","nombre","direccion","telefono","correoelectronico","latitude","longitude","altitud","capacidad","capacidad_discapacitados","fechahora_ultima_actualizacion","libres","libres_discapacitados","nivelocupacion_naranja","nivelocupacion_rojo","smassa_sector_sare"
"1","Salitre","Calle Salitre - Málaga","","","36.7132149","-4.4276681","13.243120","320","","2015-06-09 15:52:01","154","","17","5",""
"2","Cervantes","Calle Cervantes - Málaga","","","36.7208633","-4.4119148","17.603046","414","","2015-06-09 15:52:05","267","","22","5",""
"3","El Palo","Calle Alonso Carrillo De Albornoz - Málaga","","","36.7210350","-4.3607192","15.079041","129","","2015-06-09 15:52:06","95","","7","5",""
"4","Av. de Andalucía","Avenida De Andalucía - Málaga","","","36.7171364","-4.4277549","13.341649","517","","2015-06-09 15:52:06","364","","31","5",""
"5","Camas","Calle Camas - Málaga","","","36.7193031","-4.4249320","13.201344","308","","2015-06-09 15:52:06","199","","23","5",""
"6","Cruz De Humilladero","Plaza Cruz De Humilladero - Málaga","","","36.7118645","-4.4409118","19.808096","85","","2015-06-09 15:52:07","82","","12","5",""
"8","Alcazaba","Plaza La Alcazaba - Málaga","","","36.7224312","-4.4165168","22.119249","344","","2015-06-09 15:52:07","137","","27","5",""
"9","San Juan De La Cruz","Plaza San Juan De La Cruz - Málaga","","","36.7178154","-4.4327059","16.551939","350","","2015-06-09 15:52:08","307","","35","5",""
"10","Pz. de la Marina","Plaza De La Marina - Málaga","","","36.7174149","-4.4200468","6.601910","440","","2015-06-09 15:52:08","128","","23","5",""
"12","Tejón y Rodriguez","Calle Tejón Y Rodriguez - Málaga","","","36.7235985","-4.4214821","20.743837","166","","2015-06-09 15:52:09","108","","13","5",""
